prompt,hq1,hq2,mq1,lq1,lq2,lq3,lq4,lq5
our chew is more natural than that stuff you buy in the store.  at least i know where it comes from.  no artificial chemicals.,"finding a natural, chemical free way to decompress is important to you. ","when compared to some of the other things you could be using, natural chew seems like a healthier choice. ",you pick a check without artifical chemicals.,you're kidding yourself if you think that's better for you.,can you think of another way to cope besides chew?,"if you're confident that it will not result in any long-term conditions, then i can't tell you not to use it, but don't tell me i didn't warn you.",but you should consume good things that are good and not just because it is natural.,what about it is more natural? why do you think this makes it safe to use?
"i was told by grandmother that tobacco helps the pregnancy, get you through the rough patches.",finding a way to get through the struggles of pregnancy is something that you’d find helpful.,you're looking for some ways to help you get through the struggles of pregnany.,your grandmother recommended tobacco.,that's horrible advice! your grandma is living in the dark ages.,have you learned nothing from the black lung comerical ads?,i don’t know where your grandmother got this medical advice from. from everything you know and i know that is bad advice and it makes no sense.,this has never been indicated by an expert.,"old wives tales are often not true, and sometimes dangerous. no doctor will recommend smoking in pregnancy."
"i guess if i knew it was bad for my baby then maybe i would consider quitting, but what else can i do about all the stress.",staying away from things that could harm your baby is important to you.,"ideally, you’d like to find a way to handle your stress that doesn’t harm your baby.",you'd consider quitting if you learned it was bad for your baby.,"yes, it's very bad for your baby. smoking during pregnancy increases the risk of health problems including preterm birth, low birth weight, and birth defects. ",haven't you heard that smoking is bad for your baby?,"there are plenty of other ways that you can handle stress. if you need to find some of those way so you can quit, i’ll be glad to help you.","the action is up to you, and a begotten child changes people and you should change.",have you looked into meditation or yoga? both are different ways that many people find useful in pregnancy and everyday life.
it does waste a lot of money and my friends keep bugging me to quit.,you’re starting to see some of the reasons why quitting might be a good idea.,you realize that smoking is pretty expensive and you've started thinking about how else you could spend that money.,you know that smoking is a waste of money.,saving money and your health while pleasing your friends are all excellent reasons to quit. sounds like you have a lot of support for quitting.,could you find something you want to buy with all the money you'll save by quitting?,"wasting money is a point of view for each person, but always do what is good for you and for everyone.",listen to your friends and try to save that money.,"i think quitting would be best for your health, try small steps toward your goal."
"i heard it may be addictive, that worries me. but then that means i may have withdrawal symptoms when i quit. damned if you do and damned if you don’t.","you are torn. on one hand you're a bit worried about potential withdrawl systems if you choose to try quitting. but, on the other hand, you know that smoking is addictive and you're worried about what that mean for your long term health. ",it's disturbing to think about how addictive smoking is and what that means for your health.,"in this situation, it feels like there's no right answer. ","yes, nicotine is a drug! it's been known to be just as addictive as heroin or cocaine. ",have you thought about quitting?,"if you have an addictive personality, i would avoid it.","it’s not an easy thing to do, but in the long run it’s the best thing to do for your health. nothing is easy and i have faith that you can handle this.","don't do it, only that if you know the consequences, you know very well what you're getting into."
"i heard the blended, ground up bull is the worst, most addictive. i stay away from that.",staying away from the most harmful bull is a decision that you make for your health.,you don't like the idea of using bull that's super addictive. you consciously make the decision to pick brands that you don't think are as addictive.,you think this blend is the most addictive.,wrong. they're all equally addictive.,can you just quit using it all together?,"yes, of course, everything that hurts you has no reason to want it.","yes, it must be. i think everyone has a taste. if you don't like it, it's okay to stay away. and if it hurts, even more.",that would be ideal to avoid any health complications.
"i iqmik before i have to do something creative, helps me focus.",you’ve found that iqmik can be helpful in keeping you on task.,"it's hard for you to concentrate sometimes on creative tasks. if you could find another way to focus, you might be wiling to give it a try. ",you use iqmik to stay on task and focus.,"you don't need iqmik to be creative. elimate distractions, allow yourself breaks, get some healthy snacks. all of those are way better for you than iqmik. ",can't you just elimate distractions to stay on task?,keep calm and meditate .in that time some creative ideas comes into your mind,"that is great. when we stop and calculate the risks and how it will be, we are able to make good decisions. that in the future will be wonderful.",maybe you can find healthier ways to help you focus
i’m scared of withdrawal if i quit iqmik. i heard it makes you really moody and stressed out.  that can’t be good for my baby.,you’re fearful that the mood swings that can go along with quitting could have a negative impact on your baby.,you're considering quitting but you're worried about how withdrawal symptoms might negatively impact your baby.,you're worried about withdrawal symptoms. `,the impact of mood swings on your baby are nothing compared to the damage you're doing to her growing body with iqmik.,have you tried sucking something to keep your mouth busy?,you shouldn't worry about that. a withdrawal might be necessary for you to feel normal again.,"you can't be out rightly sure of what is good for your body or not until you meet an expert, my advice is to visit an expert to help you decide.","it's really not good, just change and think about your child's well being."
i heard that if you eat grapefruit after a meal it burns the fat off in your stomach.,"you’ve heard that eating grapefruit after a meal help burn up the fat and you are wondering, maybe hoping, that’s true.","it sounds like you've been looking for information about how to lose some weight. if you'd like, i can share some information...",you've heard that grapefruit will help burn fat.,that's ridiculous. the only way to lose weight is to count calories and exericse.,have you tried watching what you eat?,"review this with a doctor specialized in the area, do not fall for false promises.",grapefruit is healthy for you and it does have fat burning properties however it wont work without an overall healthy diet.,there are better things to do for your health than forcing yourself to eat grapefruit bro. don't pretend it doesn't taste like shit.
i heard that you have to eliminate all carbs in order to lose weight. that would be great if it weren’t true.,you are looking for ways to lose weight that work for you but you are hoping not to have to make drastic changes to your carb intake.,you're interested in learning more about losing weight. you've started doing some research and right now you're looking for more information about carbs.,you've heard you have to elimiate carbs to lose weight.,"no, you don't have to elimiate all carbs. but, you're definitely eating way too many carbs right now. ",have you tried starting by giving up bread?,"though limiting carbs is important, i don't think that statement is factual. i'd recommend talking with your doctor about a forming a well balanced meal plan. perhaps consulting with a nutritionist would helpful also.",i don’t think you have to eliminate all carbs. you just have to be better at controlling the amount of cards that you have in your diet.,"that doesn't exist, but low carbohydrate content is important in weight loss as long as it's controlled."
i heard from my friend that you can get the covid from the vaccine.,you feel confused about the efficacy or benefits of the vaccine. it makes you question whether or not getting the vaccine is the right choice for you.,you are nervous about receiving the vaccine because of what you've heard about people getting sick after.,you think you can get covid from the vaccine.,that's just a rumor anti-vaxxers spread.,aren't you worried you might die from covid if you don't get the vaccine?,"have you read information from the cdc about the vaccine? i think that would be helpful, to get the facts from a scientific point of view.",trust health professionals not by what others say.,"since the vaccine doesn't contain any virus in it, that is probably not likely."
i heard from my cousin that the covid vaccine makes you sterile.,"you are concerned about some of the side effects of the cv vaccine, especially since you've heard it may impact your ability to have children.","you want to have kids one day. since you've heard that the vaccine may make you sterile, you're worried that it might not be a great choice for you.",you've heard the covid vaccine may prevent you from having kids.,there's no research to support that's true.,do you want to get pregnant and then die because you're not vaccinated?,that is a genuine concern but there is no evidence to support that claim. so you have no reason to worry about it.,it is in the paperwork that they do not know the effects of the shot on fertility. i would suggest you read through the fact sheets about it and make an informed decision.,that's not proved by science. that is kind of rumor.
i heard that if you have diabetes you can’t eat fruit. that’s what my cousin says….is that true?,you're concerned that having diabetes might have an impact on whether or not you can have fruit.,"you're interested in learning more about having diabetes and eating fruit. if it's ok with you, i can share more. ",you've heard you can't eat fruit.,"fruit has carboydrates and is a form of natural sugar called fructose, which can raise your blood sugar levels. but, it can still be part of your meal plan. ",do you take your insulin when you eat fruit?,i'm not sure i would advise that you consult a doctor. i would make sure it comes from a credible source and not just trust your cousin.,trust what the experts say and not your cousin.,no
since starting this diuretic medication i am peeing all the time.  i’m worried something’s wrong. is this normal?,"you've found that the new medication causes you to pee more than usual, which is causing some concern. ","now that you've started a diuretic medication, you find yourself running to the bathroom way more than you used to. if you'd like, i can share more about why that's happening. ",you pee more than you used to.,the whole point of taking a diuretic is to increase urination.,didn't you know that?,that's what's supposed to happen. it's supposed to clean you out.,this depends on the prescription and the side effects that have been experienced.,have you spoken to your gp about this?
i am getting worried that i have not lost any weight in the past two months.  i’m wondering if maybe my metabolism has slowed.  i’m happy i lost the 15 pounds but now it seems that i can’t lose anymore. i am eating really healthy and exercising.,you're really proud of yourself for the weight that you've already lost but starting to feel frustrated that the scale hasn't moved in a while.,"you're questioning why the scale hasn't moved in a while and wondering if it may be because of your metabolism. if it's ok with you, i can share a bit more about how your metabolism works.  ",you think your weight has plateaued.,you should worry. your weight has plateaued. let's look over your food intake blog to determine where you can make changes.,have you been tracking your food or calorie intake?,"if you are close to your target weight, do not worry. excess weight can be harmful. 15 pounds is actually fine. continue to eat healthy and exercise.","losing weight in the beginning is easier, but over time it makes it difficult, don't be discouraged.",it sounds as if youve hit a plateau. id suggest keep doing what you were doing previously (when you lost the 15 pounds). its easy to become complacent and slide back into old habits after seeing a good result.
my mom said that i can’t eat anything after dinner  (which is around 5pm) because all that food goes right to your thighs.,your mom has a lot of rules about food that she's passed on to you. you're questioning whether or not these rules are actually true.,it's frustrating when you get hungry after 5pm but feel like you shouldn't eat anything because of your mom's rule.,you don't want more weight on your thighs.,"unfortunately, your mom is mistaken. digestion and metabolism are complex processes that work different depending on how you feed it.",has that been your experience when you've gained weight in the past?,"that's wrong, you can eat it, as long as it's healthy.","well, it is not true .all the food that we eat goes into our stomach but my advice for  you is that you should eat less food at night because the digestive systems works well in day as compared to night. so , you may get fat.",have you looked into the validity of this statement? this should be verified by a relevant medical professional.
you have to put solids in her bottle right away so she can sleep better.,"it's important to you to be the best parent you can be, and part of that means making sure your child gets enough sleep. ",putting solids in her bottle makes sense to you. you've found that your child sleeps better if you add baby cereal to her formula bottle.,you put solids in your baby's bottle.,"feeding your baby solids before they're ready is very dangerous, increasing risk for many diseases like obesity or sids.",where did you hear that?,"this is not always correct, sleeping better involves several other factors.","this is not good advice at all. babies are not ready for food until 6 months and putting it in their bottle is a choking hazard. furthermore, sleeping is developmental and really has nothing to do with how much stuff you pack into their little tummies.",i'm not exactly sure what you mean by that statement.
my daughter is so overweight. i think we should get her that stomach surgery.,you're starting to think of ways that you may be able to help your daughter lose some weight.,"you are nervous that if your daughter continues on the path she's on now, she's going to be overweight, which might negatively impact her life. ",your daughter's weight scares you.,you're ready to have her weight problem behind you. i can send you a referral to surgery.,what else have you tried besides surgery?,let's try a strict diet before stomach surgery. stomach surgery should be the last option.,"before that, consult a specialist doctor and there are other ways such as good nutrition or even physical activities.",i think you should give your daughter a chance to lose weight via diet and exercise before you get her stomach syrgery.
with giving up salt i’m peeing all the time. can’t be too far from a bathroom or i start to worry. i wonder if this is normal.,all the trips to the bathroom have begun to interfere with your ability to carry out your life.,you're trying to figure out a way to reduce the amount of time you spend in the bathroom.,you've been having a lot of accidents.,your anxiety is adding to your symptoms. i think you should speak to a therapist who uses cbt to gain control for your anxiety.,do you wear a liner?,it sounds like this may occupy a lot of your thoughts. i would say that is a bit worrisome. i would recommend to try to ascertain if your symptoms are equivalent to the situation.,"take it easy, you will soon be able to control this problem, don't be anxious.","it might be normal as your body adjusts to the dietary change and is flushing some of the water weight your body may have been holding on to.  if it continues more than a week or two, i would make an appointment with your doctor, just to be safe."
"i’d always had a lot of energy, but now with this heart failure thing i can’t do anything. i tried to go christmas shopping, but by the time i’d gone about a block, i was so tired that my husband took me home and i went back to bed.","chf has taken away your energy and your freedom. it has gotten in the way of getting your stuff done, and that has gotten you down.","you're starting to realize just how much of an impact having chf is going to have on the rest of your life. if there was a way you could still get out and about without feeling so tired, you might be willing to give it a try.",you energy level now is too low for the things you want to get done.,you need to reduce your expectations for what you can accomplish.,could you think of anything to cut from your schedule?,"patience we are not always strong, but just start things will change.","you need to adapt to this problem, understand that at the moment you can't do things the way you used to. try to find a place where you can buy everything in one place, make a list and research first and go straight without changing the route.",im sorry to hear that you are finding things so difficult
"i put off household tasks to conserve energy.  our house has two levels, so if anyone came over, they would have to go upstairs for me to get my things, and that felt terrible.  eventually, i got so bad i couldn't walk across the room without being out of breath. i spent a lot of time in denial over being in heart failure.  i have to rest more often than i like and can't stay up as long as i like.",you’re adjusting to your new normal and it hasn't been easy.,you can't keep up the way you want.,you haven't been able to do the things you used to do.,you need help to manage the household so you're not embarrassed by others coming over to help.,could you have someone clean for you?,it's better to get help too late than to never ask for help at all.,make time for yourself and don't mind doing everything for others.,"just ease yourself into the transition, your body will thank you."
"every morning i go to the scale and think what’s it going to be today?  up 2 lbs, up 4? am i holding water again. some days i have to wear sweatpants because i feel so bloated and uncomfortable.",you dread getting on the scale. it makes you feel out of control.,you miss wearing your nicer clothes. wearing lose clothes makes you feel messy and unkempt.,you have to wear lose clothes to stay comfortable.,your wardrobe should include pieces you feel good in for the days you're bloated.,how many milligrams of sodium have you been consuming everyday?,i think you should pick one day per week to weigh yourself rather than to do it every day and keep a journal. be sure to wear same type of clothing and weigh in at the same time every week.,"change so you know the changes are slow, but persist.",i understand what you're going through. i've been dealing with my weight for years.
"i also have “pins and needles” in one foot and it's very annoying. i'm wondering if i will have it from now on – i find that it’s better if i move regularly, but it still drives me crazy.",you question what life will look like moving forward. you're concerned that these new symtpoms might be here to stay.,"you've found that moving your foot helps keep the pins and needles feeling at bay. if you could find something else that would help keep the feeling away, you might be willing to give it a try. ",physical activity is helping you reduce your symptoms.,let's find other ways you can move throughout your day to reduce the severity.,what kinds of physical activities do you want to add to your day?,sounds like you have something going on with your nerves. i suggest you see a doctor if the symptoms persist.,have you spoken to your gp about it?,"have you thought about seeing a medical doctor for these pains? though exercise helps, maybe there's a medical issue that has a solution."
i’m having a real problem with dizziness.  sometimes i know it’s from standing up quickly….so i have to sit down or i can be walking down the hallway and have to suddenly grab the wall for support.  i don’t really trust myself to go up the stairs – i’m too afraid of falling.,your symptom of dizziness has gotten so bad that you're terrified you might take a tumble down the stairs.,you've found a couple things you can do to prevent yourself from falling when you feel dizzy -- including sitting down or grabbing a wall for support.,you've been feeling dizzy lately.,i'm worried too. you need ways to ask for help,do you have a room to move everything to one level of your house?,"that must be scary. maybe you should try to start slowly, just one or two steps, very slowly. you can build confidence.","this will pass, soon improve your health and your confidence will return.",well this sounds like a medical problem. it could be blood pressure.  i think the best thing to do is get an appointment with your doctor and see what they find.
"since heart failure hammered me in 1994, i had never managed to sustain a regular exercise routine.  i know i need to do it but i cannot get any regular routine established.","you'd really like to figure out a way to get a regular exericse routine in place. if you could figure out a way to get a routine in place, it might help you get started. ",your diagnosis of heart failure in 1994 took a lot from you -- including your exercise routine.,you're struggling finding ways to exericse.,just do it 21 days in a row. 21 days and it'll be a habit just like that.,what have you tried to incorporate into your regular routine?,"you don't need a regular routine. just do it whenever you can, and you will notice yourself doing it more often.","start off slow. make slow changes and begin with simple exercises, then work your way up as you start feeling up to it.","want a regular routine? get organized and do it, it just depends on you."
"it really scares me when i have to drive somewhere; i always have to give myself lots of extra time, and even then i am so worried about hurting myself or someone else if i get into an accident.",you're freaked out by driving and realize that you could end up hurting someone.,you're questioning if it's still safe for you to be behind the wheel.,you wish you didn't have to drive,you absolutely should not be driving. you could kill someone!,couldn't someone drive you?,feel confident and secure and gradually this fear will begin to pass.,it is important to remain calm. take several deep breath before setting out.,it is your duty and responsibility of your work.  take some break for few days and return to your work
"well, this heart thing has really affected what i eat.  i’ve had to cut out salt or what they call sodium. that’s been really hard. i like cheese, salami, lox, bacon and all that yummy stuff.  it seems that sodium is lurking everywhere .",you've really been trying to cut back on foods that are high in sodium.,you're missing your favorite foods but understand that cutting down on sodium is important for your heart health.,your diet was high in sodium.,"you need to find ways to eat that do not add to your sodium intake. i have some excellent recommendations for a recipe if you can try, seasonings to get, and other tips i think you'll enjoy",which foods do you enjoy unsalted?,"calm down, these are vices of our nervous systems, with time you will notice that salt is not so much needed anymore.",include as many vegetables -based foods as you can in your daily diet and control the foods that can harm you as much as possible take care,cutting sodium is best for your heart. think of your health before you eat.
"i used to walk to the park with my nephews, but now i avoid walking more than a block because of the cramping  in my right calf.  i miss spending time with them. but i’m worried that the pain will make my leg worse. is that true? ",you've found that you're having to cut back on some of your faovirte things because of pain. you wish that things were different.,"the pain in your calf is preventing you from walking and enoying time with your nephews. you're wroried that the pain might mean that something worse may be happening. if it's ok with you, i can share more...",you're worried your leg cramps indicate worsened symptoms of another problem.,leg cramps could be a sign of low magnesium. i think we should run some labs.,have you been doing the stretches i gave you?,you might be well worried and seek the opinion of a phsician. pain is there to function as a signal to pay attention. ignoring it will get you nowhere.,"everything can get worse, but what it can do is change.",it depends on why you're cramping. it might actually be helpful to be able to stretch it out. have you had your doctor do any bloodwork to see what is going on?
"my brother, also a smoker, has undergone an amputation and i am concerned about losing my right foot/leg.  other than the risk for amputation, i know very little about poor leg circulation and i am concerned that my lack of knowledge will hurt me.  i have never heard about walking as a way to help my pad.  i really don’t want to lose my leg.",your brother's recent amputation really has you examining your own health. you're willing to do whatever it takes so that you don't end up in the same situation.,"you see a lot of parallels between your life and your brothers. since he's also a smoker with pad, you think it might be time to start thinking about making some changes so that you don't end up in the same position as him. ",you learned walking could help you keep your leg.,you definitely need to incorporate more physical activity and walking is a great choice.,how many miles a day do you currently walk?,"just because this happened to your brother doesn't mean it will happen to you. it isn't too late to change your behaviors and educate yourself, more than likely, you will be just fine.","always follow the instructions of an expert, if he indicated, trust and start the change.","is this something you have talked to your doctor about? i don't know much about the disease, but you doctor i'm sure would have so many helpful suggestions for you."
"i’m overwhelmed trying to understand how to manage my poor leg circulation along with my diabetes, smoking, and hypertension.  smoking relaxes me and helps me cope with my stress.  i also keep my grandchildren four days each week that is exhausting.  i feel  isolated because it is difficult to leave my home due to the cramping; the distance i can walk is decreasing.  i really want to get out of my home and spend time with my grandchildren.","if there was something you could do to manage your health and stay active so that you could get out of the house and spend time with your grandkids, you might be willing to give it a try. ",the leg cramps are keeping you from what you love most -- getting out of the house and spending time with your grandkids.,you're feeling overwhelmed.,it sounds like you want to reduce the amount of time you spend watching your grandkids  so you have more energy.,why are you watching your grandchildren?,"i know that it relaxes you makes you feel better, but in the long run is it worth more than your leg? if you keep this activity going you know where it’s going to lead. i’m sure you don’t want it to go there.","tell your children that they should take care of the grandchildren and you should enjoy your grandchildren only when you want, and even more willpower and ask people for help.",keep writing down your goals and remember small victories add up.
"initially, i thought that my pad wasn’t that bad. asymptomatic as they call it; however, i realized i had begun to reduce my walking speed to prevent pain, so i guess it is worse than i thought.  limiting my mobility and keeping my disease to myself has been a stress on me and my family.  i want to tell my family.  i think that with the support of my family i can begin walking."," while you thought for a long time that your pad wasn't that bad, you're slowly starting to realize that it's definitely taken a toll on you and your ability to get around. ","you've been able to handle pad on our own for a while. however, it's progressed to a place where you can't keep going on without bringing your family up to speed. you're hopeful that by telling your family, you'll be able to get back to a better place -- physically and mentally. ",your pad has slowly taken away some of your speed and mobility.,your family can help you get back on track with your walking routine.,what will you ask your family to help you with?,the thing is that you have to begin walking again. get your family involved so it’s all of you guys. since that is one way that you said you will get started again.,"yes, tell your family it will be good for both sides and both will support you.",yes
"i’m angry about having this pad. i don’t know where it came from.  i want to walk, but can’t push through the pain. i have tried a walking club at my church, but everyone walks a lot farther and the pain was just too much to bear.  i’m looking for information and direction about how to start.","you're looking for more information on how you can get more physical activity, which will hopefully help with the dibilitating pain you've been experiencing.  ",the pain that comes along with pad is too much to tolerate. you're willing to do whatever it takes to get the pain under control.,you tried a walking club and want to continue.,you need help increasing your stamina. let's look over some of these walking plans you can choose from.,can you find someone who wants to walk more frequently but less distance?,this is your life now. there is no point in dwelling on the pain.,i will advice that you visit a physiotherapist to examine you properly and prescribe appropriate treatment for you.,"that's right you're right, just get started and you'll see in the long run that it was great to start."
"i ‘m feeling discouraged but i know that i have to do something because i cannot walk one block without cramping in my calf.  i have classic claudication where the cramping always comes on at the same distance.  i don’t drive and have always relied on my son to take me to the store, but i feel like i’m inconveniencing him too much.  i would like to be able to walk two blocks to the bus stop.  i don’t understand how a walking program can be helpful, but one of my doctors mentioned walking as a way to treat this poor circulation.  i may be willing to give it a try.",you're at a point where you have to do something. you need to be able to get around but also don't want to have to continue to rely on your son to drive you. you're thinking that starting a program might be a way to help you make it to the bus stop.,it sounds like a walking program has been on your mind as something you might be willing to try.,you want to be able to walk farther than you can now.,you're ready to join a walking club! let me get you the registration form.,could you join the walk group that meets tomorrow at 10:00?,"being willing to try is already a very good thing, then do it, and you will see that the results will gradually improve your quality of life.",taking small steps and reaching those goals will give you the push you need to keep going to achieve something great.,alternating hot and cold on your calf before and after a walk can be helpful for muscle cramps. put an ice pack on it and then a heat pad for about 15 minutes.
"i hate exercising, but i don’t t want this pad to get worse. i don’t want to lose my legs. i used to walk a bit a while back but i was a lot younger back then. ","you know that you need to get started with something, but you're worried you might not have it in you because you're not as young as you used to be. ","you recognize that without any changes, your pad will likely get worse. ",you hate to exericse.,if you walked before then you can work your way back to walking again. let's discuss a walking plan.,can you walk on your own or do you need a group to hold you accountable?,"since you don’t want to lose your leg, it’s time for you to start exercising again. maybe you can do something in a pool like walking.",there are lots of different types of exercise.  there are short yoga chair exercises available on you tube that might be a great place to start.,can you try walking a few steps every day and increase the amount of steps you take every few days?
walking down that long hallway is hard.  i’m scared of falling and not being able to get up and make it to the bedroom.  i feel like a prisoner in my own house.,it's frustrating feeling trapped in your own home because of your mobility issues.,your fear of falling and not being able to make it to the bathroom has got you thinking that something has to change.,walking is getting harder and harder.,sounds like you need accountability to incorporate a walking plan.,is there a way to switch bedrooms to be closer to the door?,work your way slowly until you reach your goal.,"just try it, this is a start and you know damn well you can do it.",your landlord could be held liable if you are injured or victimized on his or her property. learn more about your rights and options
my  legs are heavy and numb. i’m worried i’ll slip and fall walking on the icy sidewalks and driveways in wichita.  i really need to get back in shape.,you're scared that you could take a bad fall on an icy sidewalk.,you're thinking that if you were able to get back into shape you'd be less likely to slip and fall.,you think you need to get back in shape.,you're right that being in better shape will help you. here's the exercise plan i want you to try.,are you going to get a personal trainer?,you can start small. park farther away from stores. stretch while you are watching tv or whatever. practice balancing on one leg when you have nothing else to do (like standing in lines. always take the stairs.,do physical activities that will improve your fitness and health.,you need to schedule an appointment with a physical therapist or a doctor. perhaps they can give you some intelligent mart approaches to getting back into shape.
a close friend of mine just died of a heart attack while walking in the grocery store.  she was a heavy smoker and overweight.  i want to quit but don’t know how. i want to lose weight. i want to strengthen my lungs but i heard with pad you cannot walk.,your friend's death has you thinking about your own mortality. you're thinking that now might be a good time to start coming up with a plan for losing weight and quitting smoking.,"if you knew more about ways to quit smoking and how to lose some weight, you might be willing to give it a try. ",you're worried you're going to end up like your friend.,let's talk about what kinds of exercise you can add and how you can quit smoking.,do you want to join a therapy group to reduce smoking?,"you have reasons and still have willpower, with that you will be able to stop and still have a healthier life.","your willingness and determination to want to stop and lose weight is the key to achieving it. it won't be easy, but don't give up. strive. think about the benefits it will have. and look for the necessary help.","actually, having pad, you can walk or doing other light exercises on a regular basis following a supervised exercise training schedule to improve your symptoms dramatically."
i need to exercise more but i’m worried that if i start to exercise it will bring on those hypoglycemic episodes.,you're starting to think about what regular exercise might look like in your life.,you want to start to exercise but you're concerned it could lead to a hypoglycemic episode.,you know you need to exericse more.,you can reduce the likelihood that you'll experience these symptoms if you follow my three-step plan.,would rather hypoglycemic episodes or an amputation?,calm down and look for a specialized doctor and try to treat this disease.,i would speak to your doctor on how much exercise you can do without having this be a concern.,speak to your physical doctor or a dietician
"in our culture breast milk isn't enough to feed the baby, she won’t sleep unless i give her supplements and some real food.",you want what’s best for your baby. you believe that food will help your baby grow best.,your baby won’t sleep well without supplementation.,"in your culture, breastmilk isn't enough. ",you've received some incorrect information. breastmilk is all your baby needs.,have you read about the benefits of breastfeeding?,i think that’s normal for breast but not to be enough for a baby. you need to have a balanced diet and make sure that they’re getting proper food that’s going to be nutritious.,follow what medical instructions indicate and not what you parents think is best.,you think that or someone teach this to you?
"it’s just baby fat, she’ll grow out of it.","at this point, you are not really worried about her weight. while you do see she is a bit heavier than other children, having some baby fat seems normal.","if your daughter were older, you might be more worried than you are. ",you believe she will grow out of it.,that's incorrect. she has learned her eating habits from you. you need to model consuming proper nutrients and portions so she can lose weight.,what led you to think that?,"while you are likely right, i'd suggest you reach out to her doctor and ask him to evaluate her weight and overall health.",the baby is a gift the body adapts and this is normal.,"that's very possible, but it's never a bad idea to check that there aren't any underlying issues, just for peace of mind."
can i? i  heard teenagers can’t breastfeed.,"it sounds like you are interested in breastfeeding your baby, but you are not sure it is ok for teen moms.","you're looking for more information on breastfeeding. if it's ok, i can tell you what i've learned from other teenagers who've breastfed. ",you think teenagers can't breastfeed.,"you can definitely try to breastfeed. if you have difficulties with breastfeeding, you can address those with the lactation consult after-birth, or post-partum. there are lots of reasons it could be challenging, but your age is not a factor.",what was the reason you were told you couldn't breastfeed? are you hiding something?,"yes, they can, as long as they generate their own child and if they can't, there are other means for this.",can't breastfeed this is because it takes some time to secrete breast milk,i won't respond to this. please be more appropriate.
"moms should stop breastfeeding around 6 months, because breast milk is not good any longer.",you feel that your body cannot produce good milk after six months.,"in order to breastfeed longer than 6 months, you'd first have to think about breastmilk a bit differently. ",you think you should stop breastfeeding at 6 months.,that's not correct. human milk adapts as your infant grows and develops. you are still doing the best thing you can for your baby by chestfeeding,do you hate breastfeeding that much?,"that is wrong, but feel free to believe what you like.",this should be checked by an expert in the field.,"the american academy of pediatrics recommends exclusive breast-feeding for the first six months after birth — and breast-feeding in combination with solid foods until at least age 1. after that, breast-feeding is recommended as long as you and your child wish to continue"
"i will start supplementing with formula, soon after delivery, because colostrum is not enough to satisfy a baby. i  won’t start breastfeeding until my milk comes in.",you want to make sure your baby gets enough food and you're worried that colostrum isn’t enough food for your baby.,you want to make sure that your baby gets enough food and you believe that formula is more filling than colostrum.,you're going to supplement with formula.,colostrum has so many health benefits and should not be skipped. your body supplies what your baby needs. you don't need to add human-made products. you can give your baby everything they need to consume.,would you supplement even after your milk comes in?,that would be a good idea. breastfeeding is still better for the baby though.,"patience, do what is indicated and always better for the child and for you.",i think you need to speak to your midwife about your options
"the milk from the first few days is nasty, its dirty milk so i use a bottle for the first week until the clean milk comes in.","you are committed to breast feeding, you are just worried the first week’s milk is lower quality. ",you are worried that your baby will get sick from the first week’s milk. you want to make sure your baby gets the best possible food.,you choose to use a bottle for the first week.,nothing you can buy is more clean than what you can make. you're not correct.,what do you think makes it dirty?,do as instructed by experts in the field.,"i don't know if this makes sense, but if it's working, continue.",what makes the milk dirty?
"my mother said that even though women from my country breastfeed, i am now in america, and i should try to fit in by bottle feeding.  besides, i have very small breasts and probably wouldn’t be able to make any milk.  since i want to go to college in a few months, breastfeeding seems like it would be too hard, and not worth the effort.",your mom is discouraging from breastfeeding because she wants you to fit in. you are also planning to head to college so breastfeeding might be too hard right now.,it sounds like you have thought a lot about breastfeeding but you're concerned you might not produce enough milk.,you think breastfeeding would be too hard.,"you're healthy, and have had a healthy pregnancy. i see no reason you could not produce enough milk to feed your baby, at least until you go to college. you may find that it's easier to breastfeed than it is to make bottles in the middle of the night?",how do you plan to pay for formula when you're in college?,"yes, it is worth the effort, be dedicated and things will naturally work out, breastfeeding breasts is a maturing process.",i think that it's entirely up to you. you should do whatever is best for you.,breast feeding will be healthy one to child so you should try to feed the child with your milk not through bottle. breast feeding is healthy milk which every child needs till some period of time.
"i pump it and throw it out, my mom told me because i had sore nipples that my milk wasn't any good.",you're experiencing a lot of pain and sore nipples when you pump and you're worried that your milk isn't any good because of it.,"you really care about your baby and want to make sure you're feeding her healthy milk. if it's ok, i can share some more information about breastmilk that might be a bit surprising....",you pump and dump because you don't think your milk is any good.,you're wasting so much of your body's hard work. you can feed your baby the milk you make.,do you want a referral to a lactation consultant to help with your soreness?,i would look into your diet. that may be why it doesn't taste good.,"this is wrong, it is unrelated and any inconvenience goes to a doctor.",you should see a doctor to check if everything is ok with you.
"if i sign up to be an organ donor and i’m in a life-threatening situation, doctors won’t give me the best care. they won’t try as hard to save my life.",you're worried that doctors won't do everything they can to save you in a life threatening situation if you're an organ donor.,you're considering organ donation but you have a couple concerns you'd like to talk through first.,you're unsure about organ donation.,your doctor is legally obligated to save your life.,do you know how many people could be saved by one person's death if most organs can be used?,why do you think that? don't be so pessimistic.,that's absolutely not true! when you are in dagner you will always be the priority. but think how good it is to have the chance to save another life!,"that's a lie, because that's something that doesn't work that way, life always comes first."
